GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-type,jakarta.json.stream,JsonParser.Event,0,104,0,0,0,11,0,1,0,1
IU Java Utilities API Reference/iu-java-type,jakarta.json.stream,JsonParsingException,18,0,0,0,7,0,3,0,3,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.stream,JsonGenerationException,9,0,0,0,4,0,2,0,2,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.stream,JsonCollectors,134,0,2,0,25,0,13,0,12,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.stream,JsonParser,36,0,0,0,9,0,9,0,9,0
IU Java Utilities API Reference/iu-java-type,iu.type.bundle,TypeBundleSpi.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type,iu.type.bundle,TypeBundleSpi,0,275,0,18,0,65,0,23,0,14
IU Java Utilities API Reference/iu-java-type,jakarta.annotation,Resource.AuthenticationType,0,24,0,0,0,3,0,1,0,1
IU Java Utilities API Reference/iu-java-type,edu.iu.type.bundle,IuTypeBundle,0,7,0,0,0,4,0,2,0,2
IU Java Utilities API Reference/iu-java-type,jakarta.json,EmptyObject,50,3,0,0,14,1,14,1,14,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonObjectBuilder,8,0,0,0,2,0,2,0,2,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonNumber,4,0,0,0,1,0,1,0,1,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonWriter,4,0,0,0,1,0,1,0,1,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,EmptyArray,74,3,4,0,16,1,18,1,16,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonConfig.KeyStrategy,0,34,0,0,0,4,0,1,0,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonValue.ValueType,0,74,0,0,0,8,0,1,0,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,Json,136,11,0,0,32,3,32,3,32,3
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonPatch.Operation,116,0,4,0,15,0,6,0,4,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonValueImpl,29,6,4,0,8,3,6,1,4,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonArrayBuilder,98,0,0,0,24,0,24,0,24,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonReader,4,0,0,0,1,0,1,0,1,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonException,9,0,0,0,4,0,2,0,2,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonArray,10,0,0,0,2,0,1,0,1,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonStructure,5,0,0,0,1,0,1,0,1,0
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonValue,10,24,0,0,2,5,2,1,2,1
IU Java Utilities API Reference/iu-java-type,jakarta.json,JsonBuilderFactory,16,0,0,0,4,0,4,0,4,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.bind,JsonbException,9,0,0,0,4,0,2,0,2,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.bind,JsonbBuilder,20,0,0,0,5,0,5,0,5,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.bind,JsonbConfig,162,0,4,0,35,0,22,0,20,0
IU Java Utilities API Reference/iu-java-type,jakarta.json.spi,JsonProvider,294,46,23,3,67,15,36,3,23,3
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonNumberImpl.JsonNumberNumber,27,0,2,0,8,0,4,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonNumberImpl.JsonLongNumber,51,0,2,0,15,0,11,0,10,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonReaderFactoryImpl,32,0,0,0,7,0,5,0,5,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonStructureParser.ObjectScope,37,0,0,0,10,0,5,0,5,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl,375,196,50,20,89,40,49,17,17,11
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonWriterFactoryImpl,32,0,0,0,7,0,5,0,5,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonBuilderFactoryImpl,50,0,0,0,10,0,8,0,8,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonStructureParser.Scope,24,0,4,0,5,0,3,0,1,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,NodeReference.ArrayReference,153,0,18,0,24,0,15,0,6,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonArrayBuilderImpl,534,0,38,0,138,0,64,0,45,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl.DuplicateStrategy.new JsonObjectBuilderImpl.DuplicateStrategy() {...},10,7,2,0,3,1,2,1,1,1
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl.DuplicateStrategy.new JsonObjectBuilderImpl.DuplicateStrategy() {...},0,9,0,0,0,2,0,2,0,2
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl.DuplicateStrategy.new JsonObjectBuilderImpl.DuplicateStrategy() {...},6,7,2,0,3,1,2,1,1,1
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonPointerImpl,379,0,51,0,74,0,39,0,13,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonTokenizer,847,457,157,59,172,97,114,31,12,16
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonPatchImpl,258,0,33,0,53,0,30,0,11,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserFactoryImpl,42,0,0,0,9,0,7,0,7,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonStructureParser.ArrayScope,28,0,0,0,8,0,5,0,5,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl.JsonObjectImpl,81,80,13,3,25,21,17,11,9,11
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.Stack,7,28,1,3,2,8,2,4,1,3
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonGeneratorImpl.Context,0,9,0,0,0,4,0,1,0,1
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonNumberImpl.JsonIntNumber,41,10,2,0,11,4,9,2,8,2
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonGeneratorImpl.Scope,0,44,0,0,0,5,0,1,0,1
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonNumberImpl.JsonBigDecimalNumber,13,0,0,0,5,0,3,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonWriterImpl,141,74,19,6,37,21,16,5,4,4
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonPatchImpl.DiffGenerator,478,0,38,0,62,0,27,0,8,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonReaderImpl,167,38,18,2,41,11,15,3,5,3
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonMergePatchImpl,191,0,26,0,48,0,24,0,11,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonArrayBuilderImpl.JsonArrayImpl,134,0,6,0,38,0,22,0,19,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonTokenizer.JsonToken,0,165,0,0,0,19,0,4,0,4
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.ArrayContext,147,0,23,0,34,0,15,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonPrettyGeneratorImpl,113,0,6,0,36,0,15,0,12,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.NoneContext,35,34,5,1,8,6,4,2,1,2
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonPatchBuilderImpl,354,0,0,0,85,0,20,0,20,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonProviderImpl,317,36,10,0,40,6,35,4,30,4
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.new Spliterators.AbstractSpliterator() {...},33,0,4,0,9,0,5,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonGeneratorImpl,1024,1227,122,33,262,89,114,21,33,16
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.new Spliterators.AbstractSpliterator() {...},36,0,6,0,10,0,6,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.new Spliterators.AbstractSpliterator() {...},69,0,10,0,18,0,8,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonStringImpl,146,15,21,0,30,6,16,4,3,4
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonContext,236,103,37,12,44,29,33,13,8,13
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonWriterImpl.NoFlushOutputStream,12,0,0,0,5,0,3,0,3,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonStructureParser,391,0,76,0,92,0,58,0,15,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonNumberImpl,221,12,28,0,50,4,31,2,17,2
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,UnicodeDetectingInputStream,207,188,53,21,35,43,37,7,1,6
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonLocationImpl,51,0,0,0,10,0,6,0,6,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl,244,90,17,5,62,26,25,8,15,7
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,MapUtil,132,0,28,0,31,0,15,0,1,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonParserImpl.ObjectContext,92,91,17,13,20,22,13,6,1,2
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,NodeReference,22,0,0,0,4,0,4,0,4,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,NodeReference.RootReference,44,0,4,0,12,0,8,0,6,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonMessages,500,0,6,0,72,0,61,0,58,0
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,JsonObjectBuilderImpl.DuplicateStrategy,25,51,6,2,4,10,4,3,0,3
IU Java Utilities API Reference/iu-java-type,org.eclipse.parsson,NodeReference.ObjectReference,91,0,10,0,16,0,11,0,6,0
