GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-client,iu.client,IterableAdapter,0,9,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,VaultSecret,0,121,0,4,0,27,0,12,0,10
IU Java Utilities API Reference/iu-java-client,iu.client,CalendarJsonAdapter,0,32,0,4,0,10,0,5,0,3
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonPropertyNameFormat,0,21,0,0,0,4,0,1,0,1
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,20,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,15,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,16,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuHttp,0,381,0,26,0,74,0,35,0,22
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonAdapter,0,70,0,0,0,12,0,14,0,14
IU Java Utilities API Reference/iu-java-client,edu.iu.client,HttpException,0,25,0,0,0,10,0,4,0,4
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuVault,0,11,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJsonBuilder,0,98,0,2,0,16,0,12,0,11
IU Java Utilities API Reference/iu-java-client,edu.iu.client,IuJson,0,234,0,16,0,61,0,45,0,37
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTest,0,109,0,6,0,28,0,10,0,7
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger,0,328,0,32,0,81,0,30,0,14
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger.IuTestLogHandler,0,209,0,24,0,53,0,18,0,6
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestSessionListener,0,7,0,0,0,6,0,3,0,3
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger.LogRecordMatcher,0,168,0,38,0,39,0,23,0,4
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestExtension,6,23,2,2,2,14,2,4,0,4
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,EphemeralKeys,0,145,0,8,0,34,0,15,0,11
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,Init,0,20,0,0,0,6,0,2,0,2
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebCryptoHeader,0,186,0,26,0,34,0,20,0,7
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,PemEncoded,0,338,0,28,0,67,0,37,0,23
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKey,0,688,0,126,0,144,0,90,0,27
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebCertificateReference,0,80,0,16,0,23,0,13,0,5
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebSignedPayload,0,38,0,4,0,12,0,4,0,2
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKey.Algorithm,0,980,0,0,0,71,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebEncryption.Encryption,0,94,0,0,0,14,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebEncryption,0,36,0,0,0,8,0,6,0,6
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebSignature,0,4,0,0,0,1,0,1,0,1
